Date,Open,High,Low,Close
09/18/2007,"1,519.78","1,519.89","1,476.63","1,519.78"
09/17/2007,"1,476.65","1,484.24","1,471.82","1,476.65"
09/14/2007,"1,484.25","1,485.99","1,473.18","1,484.25"
09/13/2007,"1,483.95","1,489.58","1,471.47","1,483.95"
09/12/2007,"1,471.56","1,479.50","1,465.75","1,471.56"
09/11/2007,"1,471.49","1,472.48","1,451.69","1,471.49"
09/10/2007,"1,451.70","1,462.25","1,439.29","1,451.70"
09/07/2007,"1,453.55","1,478.55","1,449.07","1,453.55"
09/06/2007,"1,478.55","1,481.49","1,467.41","1,478.55"
09/05/2007,"1,472.29","1,488.76","1,466.34","1,472.29"
09/04/2007,"1,489.42","1,496.40","1,472.15","1,489.42"
08/31/2007,"1,473.99","1,481.47","1,457.61","1,473.99"
08/30/2007,"1,457.64","1,468.43","1,451.25","1,457.64"
08/29/2007,"1,463.76","1,463.76","1,432.01","1,463.76"
08/28/2007,"1,432.36","1,466.72","1,432.01","1,432.36"
08/27/2007,"1,466.79","1,479.36","1,465.98","1,466.79"
08/24/2007,"1,479.37","1,479.40","1,460.54","1,479.37"
08/23/2007,"1,462.50","1,472.64","1,453.88","1,462.50"
08/22/2007,"1,464.07","1,464.86","1,447.03","1,464.07"
08/21/2007,"1,447.12","1,455.32","1,439.76","1,447.12"
08/20/2007,"1,445.55","1,451.75","1,430.54","1,445.55"
08/17/2007,"1,445.94","1,450.33","1,411.26","1,445.94"
08/16/2007,"1,411.27","1,415.97","1,370.60","1,411.27"
08/15/2007,"1,406.70","1,440.78","1,404.36","1,406.70"
08/14/2007,"1,426.54","1,456.74","1,426.20","1,426.54"
08/13/2007,"1,452.92","1,466.29","1,451.54","1,452.92"
08/10/2007,"1,453.64","1,462.02","1,429.74","1,453.64"
08/09/2007,"1,453.09","1,497.21","1,453.09","1,453.09"
08/08/2007,"1,497.49","1,503.41","1,476.22","1,497.49"
08/07/2007,"1,476.71","1,488.42","1,456.90","1,476.71"
08/06/2007,"1,467.67","1,467.67","1,427.36","1,467.67"
08/03/2007,"1,433.06","1,473.15","1,432.81","1,433.06"
08/02/2007,"1,472.20","1,476.13","1,460.73","1,472.20"
08/01/2007,"1,465.81","1,467.80","1,439.64","1,465.81"
07/31/2007,"1,455.27","1,488.40","1,454.22","1,455.27"
07/30/2007,"1,473.91","1,477.69","1,454.24","1,473.91"
07/27/2007,"1,458.95","1,487.93","1,458.95","1,458.95"
07/26/2007,"1,482.66","1,518.09","1,465.95","1,482.66"
07/25/2007,"1,518.09","1,524.31","1,503.91","1,518.09"
07/24/2007,"1,511.04","1,541.57","1,508.74","1,511.04"
07/23/2007,"1,541.57","1,547.02","1,534.06","1,541.57"
07/20/2007,"1,534.10","1,553.19","1,529.47","1,534.10"
07/19/2007,"1,553.08","1,555.24","1,546.13","1,553.08"
07/18/2007,"1,546.17","1,549.20","1,533.68","1,546.17"
07/17/2007,"1,549.37","1,555.22","1,547.91","1,549.37"
07/16/2007,"1,549.52","1,555.90","1,546.69","1,549.52"
07/13/2007,"1,552.50","1,555.10","1,544.85","1,552.50"
07/12/2007,"1,547.70","1,547.91","1,518.74","1,547.70"
07/11/2007,"1,518.76","1,519.27","1,506.64","1,518.76"
07/10/2007,"1,510.12","1,531.85","1,510.06","1,510.12"
07/09/2007,"1,531.85","1,534.21","1,527.53","1,531.85"
07/06/2007,"1,530.44","1,532.40","1,520.47","1,530.44"
07/05/2007,"1,525.40","1,526.57","1,517.72","1,525.40"
07/03/2007,"1,524.87","1,526.01","1,519.12","1,524.87"
07/02/2007,"1,519.43","1,519.45","1,504.66","1,519.43"
06/29/2007,"1,503.35","1,517.53","1,493.61","1,503.35"
06/28/2007,"1,505.71","1,514.84","1,503.41","1,505.71"
06/27/2007,"1,506.34","1,506.80","1,484.18","1,506.34"
06/26/2007,"1,492.89","1,506.12","1,490.54","1,492.89"
06/25/2007,"1,497.74","1,514.29","1,492.68","1,497.74"
06/22/2007,"1,502.56","1,522.19","1,500.74","1,502.56"
06/21/2007,"1,522.19","1,522.90","1,504.75","1,522.19"
06/20/2007,"1,512.84","1,537.80","1,512.36","1,512.84"
06/19/2007,"1,533.70","1,535.85","1,525.67","1,533.70"
