Date,Open,High,Low,Close
09/24/2012,"1,459.76","1,460.72","1,452.06","1,456.89"
09/21/2012,"1,460.34","1,467.07","1,459.51","1,460.15"
09/20/2012,"1,461.05","1,461.23","1,449.98","1,460.26"
09/19/2012,"1,459.50","1,465.15","1,457.88","1,461.05"
09/18/2012,"1,461.19","1,461.47","1,456.13","1,459.32"
09/17/2012,"1,465.42","1,465.63","1,457.55","1,461.19"
09/14/2012,"1,460.07","1,474.51","1,460.07","1,465.77"
09/13/2012,"1,436.56","1,463.76","1,435.34","1,459.99"
09/12/2012,"1,433.56","1,439.15","1,432.99","1,436.56"
09/11/2012,"1,429.13","1,437.76","1,429.13","1,433.56"
09/10/2012,"1,437.92","1,438.74","1,428.98","1,429.08"
09/07/2012,"1,432.12","1,437.92","1,431.45","1,437.92"
09/06/2012,"1,403.74","1,432.12","1,403.74","1,432.12"
09/05/2012,"1,404.94","1,408.81","1,401.25","1,403.44"
09/04/2012,"1,406.54","1,409.31","1,396.56","1,404.94"
08/31/2012,"1,400.07","1,413.09","1,398.96","1,406.58"
08/30/2012,"1,410.08","1,410.08","1,397.01","1,399.48"
08/29/2012,"1,409.32","1,413.95","1,406.57","1,410.49"
08/28/2012,"1,410.44","1,413.63","1,405.59","1,409.30"
08/27/2012,"1,411.13","1,416.17","1,409.11","1,410.44"
08/24/2012,"1,401.99","1,413.46","1,398.04","1,411.13"
08/23/2012,"1,413.49","1,413.49","1,400.50","1,402.08"
08/22/2012,"1,413.09","1,416.12","1,406.78","1,413.49"
08/21/2012,"1,418.13","1,426.68","1,410.86","1,413.17"
08/20/2012,"1,417.85","1,418.13","1,412.12","1,418.13"
08/17/2012,"1,415.84","1,418.71","1,414.67","1,418.16"
08/16/2012,"1,405.57","1,417.44","1,404.15","1,415.51"
08/15/2012,"1,403.89","1,407.73","1,401.83","1,405.53"
08/14/2012,"1,404.36","1,410.03","1,400.60","1,403.93"
08/13/2012,"1,405.87","1,405.87","1,397.32","1,404.11"
08/10/2012,"1,402.58","1,405.98","1,395.62","1,405.87"
08/09/2012,"1,402.26","1,405.95","1,398.80","1,402.80"
08/08/2012,"1,401.23","1,404.14","1,396.13","1,402.22"
08/07/2012,"1,394.46","1,407.14","1,394.46","1,401.35"
08/06/2012,"1,391.04","1,399.63","1,391.04","1,394.23"
08/03/2012,"1,365.45","1,394.16","1,365.45","1,390.99"
08/02/2012,"1,375.13","1,375.13","1,354.65","1,365.00"
08/01/2012,"1,379.32","1,385.03","1,373.35","1,375.14"
07/31/2012,"1,385.27","1,387.16","1,379.17","1,379.32"
07/30/2012,"1,385.94","1,391.74","1,381.37","1,385.30"
07/27/2012,"1,360.05","1,389.19","1,360.05","1,385.97"
07/26/2012,"1,338.17","1,363.13","1,338.17","1,360.02"
07/25/2012,"1,338.35","1,343.98","1,331.50","1,337.89"
07/24/2012,"1,350.52","1,351.53","1,329.24","1,338.31"
07/23/2012,"1,362.34","1,362.34","1,337.56","1,350.52"
07/20/2012,"1,376.51","1,376.51","1,362.19","1,362.66"
07/19/2012,"1,373.01","1,380.39","1,371.21","1,376.51"
07/18/2012,"1,363.58","1,375.26","1,358.96","1,372.78"
07/17/2012,"1,353.68","1,365.36","1,345.07","1,363.67"
07/16/2012,"1,356.50","1,357.26","1,348.51","1,353.64"
07/13/2012,"1,334.81","1,357.70","1,334.81","1,356.78"
07/12/2012,"1,341.29","1,341.29","1,325.41","1,334.76"
07/11/2012,"1,341.40","1,345.00","1,333.25","1,341.45"
07/10/2012,"1,352.96","1,361.54","1,336.27","1,341.47"
07/09/2012,"1,354.66","1,354.87","1,346.65","1,352.46"
07/06/2012,"1,367.09","1,367.09","1,348.03","1,354.68"
07/05/2012,"1,373.72","1,373.85","1,363.02","1,367.58"
07/03/2012,"1,365.75","1,374.81","1,363.53","1,374.02"
07/02/2012,"1,362.33","1,366.35","1,355.70","1,365.51"
06/29/2012,"1,330.12","1,362.17","1,330.12","1,362.16"
06/28/2012,"1,331.52","1,331.52","1,313.29","1,329.04"
06/27/2012,"1,320.71","1,334.40","1,320.71","1,331.85"
06/26/2012,"1,314.09","1,324.24","1,310.30","1,319.99"
06/25/2012,"1,334.90","1,334.90","1,309.27","1,313.72"
06/22/2012,"1,325.92","1,337.82","1,325.92","1,335.02"
06/21/2012,"1,355.43","1,358.27","1,324.41","1,325.51"
06/20/2012,"1,358.04","1,361.57","1,346.45","1,355.69"
06/19/2012,"1,344.83","1,363.46","1,344.83","1,357.98"
